TIGERs Mannheim,Timestamp,PlaceX,PlaceY,BallX,BallY
5761,1562407130.572207,-3.169815185546875,-4.29,-3.17466259765625,-4.30125048828125
5762,1562407130.572217,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5763,1562407130.579713,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5764,1562407130.580279,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5765,1562407130.580312,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5766,1562407130.585111,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5767,1562407130.585139,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5768,1562407130.594003,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5769,1562407130.594031,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5770,1562407130.598249,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5771,1562407130.59828,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5772,1562407130.603989,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5773,1562407130.604019,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5774,1562407130.604897,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5775,1562407130.611848,-3.169815185546875,-4.29,-3.173081787109375,-4.30429296875
5776,1562407130.611876,-3.169815185546875,-4.29,-3.169478515625,-4.30925048828125
5777,1562407130.618618,-3.169815185546875,-4.29,-3.169478515625,-4.30925048828125
5778,1562407130.618648,-3.169815185546875,-4.29,-3.169478515625,-4.30925048828125
5779,1562407130.625407,-3.169815185546875,-4.29,-3.169478515625,-4.30925048828125
5780,1562407130.625424,-3.169815185546875,-4.29,-3.17375830078125,-4.294451171875
5781,1562407130.630166,-3.169815185546875,-4.29,-3.17375830078125,-4.294451171875
5782,1562407130.634128,-3.169815185546875,-4.29,-3.17375830078125,-4.294451171875
5783,1562407130.634145,-3.169815185546875,-4.29,-3.17375830078125,-4.294451171875
5784,1562407130.639946,-3.169815185546875,-4.29,-3.17375830078125,-4.294451171875
5785,1562407130.639961,-3.169815185546875,-4.29,-3.169840576171875,-4.31115771484375
5786,1562407130.650101,-3.169815185546875,-4.29,-3.169840576171875,-4.31115771484375
5787,1562407130.650118,-3.169815185546875,-4.29,-3.169840576171875,-4.31115771484375
5788,1562407130.653363,-3.169815185546875,-4.29,-3.169840576171875,-4.31115771484375
5789,1562407130.653377,-3.169815185546875,-4.29,-3.173618408203125,-4.30355859375
5790,1562407130.655429,-3.169815185546875,-4.29,-3.173618408203125,-4.30355859375
5791,1562407130.660556,-3.169815185546875,-4.29,-3.173618408203125,-4.30355859375
5792,1562407130.660571,-3.169815185546875,-4.29,-3.173618408203125,-4.30355859375
5793,1562407130.666698,-3.169815185546875,-4.29,-3.173618408203125,-4.30355859375
5794,1562407130.666709,-3.169815185546875,-4.29,-3.1665048828125,-4.31185986328125
5795,1562407130.67181,-3.169815185546875,-4.29,-3.1665048828125,-4.31185986328125
5796,1562407130.671824,-3.169815185546875,-4.29,-3.1665048828125,-4.31185986328125
5797,1562407130.680361,-3.169815185546875,-4.29,-3.1665048828125,-4.31185986328125
5798,1562407130.680373,-3.169815185546875,-4.29,-3.174060791015625,-4.3056103515625
5799,1562407130.680653,-3.169815185546875,-4.29,-3.174060791015625,-4.3056103515625
5800,1562407130.685611,-3.169815185546875,-4.29,-3.174060791015625,-4.3056103515625
5801,1562407130.685625,-3.169815185546875,-4.29,-3.174060791015625,-4.3056103515625
5802,1562407130.693606,-3.169815185546875,-4.29,-3.174060791015625,-4.3056103515625
5803,1562407130.693621,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5804,1562407130.699358,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5805,1562407130.699371,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5806,1562407130.70586,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5807,1562407130.706632,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5808,1562407130.706646,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5809,1562407130.716989,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5810,1562407130.717001,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5811,1562407130.720302,-3.169815185546875,-4.29,-3.16998828125,-4.30634765625
5812,1562407130.720313,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5813,1562407130.729946,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5814,1562407130.72996,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5815,1562407130.731095,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5816,1562407130.735478,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5817,1562407130.735523,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5818,1562407130.747478,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5819,1562407130.747512,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5820,1562407130.748819,-3.169815185546875,-4.29,-3.16983447265625,-4.30351123046875
5821,1562407130.748835,-3.169815185546875,-4.29,-3.16783203125,-4.2986455078125
5822,1562407130.756336,-3.169815185546875,-4.29,-3.16783203125,-4.2986455078125
5823,1562407130.759247,-3.169815185546875,-4.29,-3.16783203125,-4.2986455078125
5824,1562407130.759261,-3.169815185546875,-4.29,-3.16783203125,-4.2986455078125
5825,1562407130.762701,-3.169815185546875,-4.29,-3.16783203125,-4.2986455078125
5826,1562407130.762719,-3.169815185546875,-4.29,-3.16535546875,-4.2968125
5827,1562407130.768048,-3.169815185546875,-4.29,-3.16535546875,-4.2968125
5828,1562407130.768087,-3.169815185546875,-4.29,-3.16535546875,-4.2968125
5829,1562407130.776412,-3.169815185546875,-4.29,-3.16535546875,-4.2968125
5830,1562407130.776452,-3.169815185546875,-4.29,-3.1633916015625,-4.3060673828125
5831,1562407130.781389,-3.169815185546875,-4.29,-3.1633916015625,-4.3060673828125
5832,1562407130.78142,-3.169815185546875,-4.29,-3.1633916015625,-4.3060673828125
5833,1562407130.781533,-3.169815185546875,-4.29,-3.1633916015625,-4.3060673828125
5834,1562407130.788472,-3.169815185546875,-4.29,-3.1633916015625,-4.3060673828125
5835,1562407130.788488,-3.169815185546875,-4.29,-3.172913330078125,-4.3085615234375
5836,1562407130.797719,-3.169815185546875,-4.29,-3.172913330078125,-4.3085615234375
5837,1562407130.797739,-3.169815185546875,-4.29,-3.172913330078125,-4.3085615234375
5838,1562407130.802888,-3.169815185546875,-4.29,-3.172913330078125,-4.3085615234375
5839,1562407130.8029,-3.169815185546875,-4.29,-3.168041259765625,-4.302720703125
5840,1562407130.806785,-3.169815185546875,-4.29,-3.168041259765625,-4.302720703125
5841,1562407130.811431,-3.169815185546875,-4.29,-3.168041259765625,-4.302720703125
5842,1562407130.811442,-3.169815185546875,-4.29,-3.168041259765625,-4.302720703125
5843,1562407130.81729,-3.169815185546875,-4.29,-3.168041259765625,-4.302720703125
5844,1562407130.817302,-3.169815185546875,-4.29,-3.1660146484375,-4.309310546875
5845,1562407130.825358,-3.169815185546875,-4.29,-3.1660146484375,-4.309310546875
5846,1562407130.82537,-3.169815185546875,-4.29,-3.1660146484375,-4.309310546875
5847,1562407130.829859,-3.169815185546875,-4.29,-3.1660146484375,-4.309310546875
5848,1562407130.82987,-3.169815185546875,-4.29,-3.169238525390625,-4.31039501953125
5849,1562407130.832099,-3.169815185546875,-4.29,-3.169238525390625,-4.31039501953125
5850,1562407130.839013,-3.169815185546875,-4.29,-3.169238525390625,-4.31039501953125
5851,1562407130.839028,-3.169815185546875,-4.29,-3.169238525390625,-4.31039501953125
5852,1562407130.844381,-3.169815185546875,-4.29,-3.169238525390625,-4.31039501953125
5853,1562407130.844393,-3.169815185546875,-4.29,-3.1708330078125,-4.3044287109375
5854,1562407130.849256,-3.169815185546875,-4.29,-3.1708330078125,-4.3044287109375
5855,1562407130.849268,-3.169815185546875,-4.29,-3.1708330078125,-4.3044287109375
5856,1562407130.857322,-3.169815185546875,-4.29,-3.1708330078125,-4.3044287109375
5857,1562407130.857392,-3.169815185546875,-4.29,-3.167952392578125,-4.30324365234375
5858,1562407130.857413,-3.169815185546875,-4.29,-3.167952392578125,-4.30324365234375
5859,1562407130.865111,-3.169815185546875,-4.29,-3.167952392578125,-4.30324365234375
5860,1562407130.865126,-3.169815185546875,-4.29,-3.167952392578125,-4.30324365234375
5861,1562407130.87052,-3.169815185546875,-4.29,-3.167952392578125,-4.30324365234375
